timestamp,arm1_px,arm1_py,arm1_pz,arm1_qw,arm1_qx,arm1_qy,arm1_qz,arm1_gripper,arm2_px,arm2_py,arm2_pz,arm2_qw,arm2_qx,arm2_qy,arm2_qz,arm2_gripper
1760941174148,0.281137,0.176638,1.136859,0.896664,0.194840,-0.324139,0.230141,1,-0.112396,0.163710,1.092346,0.937091,0.195295,0.286436,-0.040928,1
1760941174164,0.281137,0.176638,1.136859,0.895112,0.197115,-0.326542,0.230847,1,-0.112196,0.163734,1.092073,0.938182,0.196251,0.284065,-0.024639,1
1760941174180,0.281384,0.176744,1.136786,0.891989,0.186509,-0.330106,0.246170,1,-0.111735,0.163974,1.092086,0.939270,0.198550,0.279505,-0.015069,1
1760941174196,0.281351,0.176615,1.136884,0.890168,0.204139,-0.326315,0.243815,1,-0.111089,0.163786,1.091689,0.940115,0.198050,0.276969,-0.015757,1
1760941174212,0.281351,0.176615,1.136884,0.893702,0.188632,-0.328101,0.240964,1,-0.110690,0.163603,1.091530,0.940294,0.198412,0.276195,-0.014023,1
1760941174228,0.281332,0.176559,1.136597,0.899159,0.180768,-0.325303,0.230246,1,-0.110171,0.163911,1.091541,0.941098,0.199178,0.273241,0.001031,1
1760941174248,0.281351,0.176615,1.136884,0.895138,0.185409,-0.327812,0.238519,1,-0.109816,0.164124,1.091487,0.941882,0.201009,0.268279,0.021930,1
1760941174264,0.281332,0.176559,1.136597,0.897540,0.177054,-0.327307,0.236522,1,-0.109296,0.164431,1.091498,0.939722,0.207473,0.269643,0.034219,1
1760941174280,0.281087,0.176722,1.136420,0.903887,0.170201,-0.321979,0.224387,1,-0.108785,0.164490,1.091590,0.939339,0.212712,0.265858,0.041422,1
1760941174296,0.281120,0.176851,1.136321,0.895492,0.194205,-0.325156,0.233777,1,-0.108600,0.164850,1.091687,0.936980,0.221256,0.265779,0.049755,1
1760941174312,0.281139,0.176907,1.136608,0.895997,0.189368,-0.326938,0.233324,1,-0.108287,0.165114,1.091665,0.937206,0.220182,0.265955,0.049334,1
1760941174328,0.280983,0.176876,1.136325,0.892195,0.204548,-0.327143,0.234789,1,-0.107918,0.165032,1.091385,0.938762,0.216499,0.264324,0.044581,1
1760941174348,0.280950,0.176746,1.136424,0.895019,0.202255,-0.325179,0.228675,1,-0.107818,0.165840,1.091618,0.938150,0.219614,0.262729,0.051158,1
1760941174364,0.280686,0.176660,1.136171,0.894642,0.205672,-0.321706,0.231993,1,-0.107648,0.165691,1.091466,0.938171,0.219907,0.256281,0.076131,1
1760941174380,0.280653,0.176530,1.136269,0.897739,0.199677,-0.319735,0.227954,1,-0.107411,0.165954,1.090694,0.522958,-0.143892,0.321843,-0.776033,1
1760941174397,0.280438,0.176554,1.136245,0.893745,0.206375,-0.320913,0.235891,1,-0.107181,0.166534,1.090531,0.523117,-0.141367,0.323528,-0.775689,1
1760941174412,0.280457,0.176609,1.136531,0.897951,0.182371,-0.321460,0.238932,1,-0.107765,0.166478,1.091505,0.939760,0.218716,0.252905,0.071093,1
1760941174429,0.280457,0.176609,1.136531,0.899725,0.187042,-0.322797,0.226520,1,-0.107408,0.166842,1.090882,0.517962,-0.144630,0.315428,-0.781858,1
1760941174448,0.280520,0.177033,1.136659,0.896681,0.196547,-0.322238,0.231291,1,-0.107888,0.167438,1.091075,0.509132,-0.155573,0.304350,-0.789907,1
1760941174465,0.280520,0.177033,1.136659,0.894914,0.196339,-0.324477,0.235147,1,-0.107888,0.167438,1.091075,0.512580,-0.151643,0.307597,-0.787179,1
1760941174480,0.280489,0.177171,1.136506,0.896520,0.205917,-0.321907,0.224111,1,-0.108304,0.167558,1.090673,0.507841,-0.158337,0.302465,-0.790912,1
1760941174498,0.280521,0.177301,1.136407,0.895781,0.204230,-0.323919,0.225707,1,-0.108452,0.166822,1.091552,0.938589,0.221688,0.250485,0.084627,1
1760941174514,0.280164,0.177446,1.136734,0.897710,0.199783,-0.320874,0.226371,1,-0.108647,0.167405,1.090921,0.509738,-0.156624,0.303906,-0.789479,1
1760941174530,0.280164,0.177446,1.136734,0.896216,0.207381,-0.322158,0.223615,1,-0.109291,0.167833,1.090870,0.523166,-0.139010,0.318474,-0.778169,1
1760941174549,0.280183,0.177501,1.137021,0.891695,0.201793,-0.325181,0.241697,1,-0.109772,0.168429,1.091063,0.511689,-0.152983,0.304626,-0.788653,1
1760941174567,0.279968,0.177524,1.136996,0.894134,0.198266,-0.324587,0.236343,1,-0.110071,0.167532,1.091655,0.940426,0.217604,0.248876,0.079417,1
1760941174581,0.279722,0.177493,1.137030,0.893458,0.198965,-0.324364,0.238608,1,-0.110844,0.168448,1.090953,0.526983,-0.134098,0.324041,-0.774148,1
1760941174597,0.279534,0.177333,1.136845,0.894274,0.190705,-0.324060,0.242673,1,-0.111467,0.168553,1.091042,0.525800,-0.136490,0.321454,-0.775611,1
1760941174613,0.279319,0.177355,1.136821,0.900440,0.185012,-0.322072,0.226382,1,-0.112145,0.168774,1.091195,0.523266,-0.139461,0.318093,-0.778177,1
1760941174630,0.279176,0.177477,1.137172,0.896687,0.196485,-0.325382,0.226875,1,-0.112457,0.168826,1.091240,0.516583,-0.150143,0.307789,-0.784771,1
