timestamp,arm2_px,arm2_py,arm2_pz,arm2_qw,arm2_qx,arm2_qy,arm2_qz,arm2_gripper
1760941180080,-0.16171,0.171639,1.126364,0.808494,0.156458,0.56303,-0.069684,1
1760941180096,-0.162427,0.170871,1.126616,0.804869,0.152068,0.567908,-0.080883,1
1760941180113,-0.162601,0.170224,1.126581,0.802776,0.153049,0.569353,-0.089242,1
1760941180128,-0.163317,0.169455,1.126832,0.799223,0.154372,0.572478,-0.098393,1
1760941180148,-0.163599,0.169061,1.12695,0.794184,0.156471,0.576525,-0.111388,1
1760941180164,-0.16398,0.16836,1.127039,0.795872,0.153357,0.57431,-0.115051,1
1760941180180,-0.16446,0.167545,1.127282,0.795067,0.151293,0.575499,-0.117386,1
1760941180196,-0.165124,0.166729,1.127246,0.798473,0.153255,0.570923,-0.114021,1
1760941180212,-0.165357,0.166619,1.127613,0.795353,0.152668,0.5741,-0.120479,1
1760941180228,-0.16628,0.165793,1.127825,0.799404,0.147343,0.569796,-0.120727,1
1760941180248,-0.166659,0.165239,1.128347,0.792918,0.141643,0.57732,-0.133865,1
1760941180264,-0.167469,0.165243,1.128871,0.793904,0.140828,0.577172,-0.129446,1
1760941180280,-0.168248,0.165163,1.129001,0.790592,0.134649,0.579189,-0.146195,1
1760941180296,-0.16869,0.165018,1.129647,0.791003,0.138837,0.57795,-0.14496,1
1760941180312,-0.169615,0.164469,1.129615,0.790098,0.139542,0.578261,-0.147942,1
1760941180330,-0.170293,0.164371,1.130267,0.789798,0.14309,0.577734,-0.14822,1
1760941180348,-0.171282,0.164255,1.130674,0.787394,0.138653,0.578343,-0.162189,1
1760941180365,-0.171997,0.163761,1.130677,0.789203,0.139646,0.576392,-0.159468,1
1760941180381,-0.172775,0.163397,1.131043,0.788576,0.143427,0.574788,-0.164911,1
1760941180396,-0.173696,0.162588,1.131564,0.779536,0.131753,0.58202,-0.190309,1
1760941180412,-0.174259,0.162033,1.131804,0.778312,0.135914,0.582503,-0.190914,1
1760941180428,-0.174763,0.161316,1.13208,0.776878,0.141308,0.58331,-0.190373,1
1760941180448,-0.175581,0.160543,1.132306,0.776286,0.149153,0.582903,-0.188036,1
1760941180464,-0.176109,0.159643,1.132702,0.767504,0.132985,0.588486,-0.216648,1
1760941180480,-0.176715,0.158919,1.132803,0.765863,0.126418,0.590834,-0.219972,1
1760941180496,-0.17714,0.158057,1.132906,0.765658,0.12234,0.590186,-0.22468,1
1760941180512,-0.177702,0.157502,1.133143,0.762913,0.113819,0.589588,-0.23957,1
1760941180528,-0.177942,0.156635,1.133524,0.763393,0.109534,0.590335,-0.238198,1
1760941180548,-0.178599,0.155814,1.133472,0.760917,0.104908,0.590592,-0.247388,1
