timestamp,arm1_px,arm1_py,arm1_pz,arm1_qw,arm1_qx,arm1_qy,arm1_qz,arm1_gripper
1760941164165,0.175991,0.129889,1.188435,0.116401,-0.873840,-0.472017,0.007395,1
1760941164181,0.175635,0.130110,1.187573,0.117943,-0.873142,-0.472922,0.007553,1
1760941164197,0.174937,0.130623,1.187040,0.203552,-0.840720,-0.501263,0.022172,1
1760941164213,0.174559,0.130738,1.186564,0.200813,-0.846402,-0.492765,0.021455,1
1760941164231,0.173737,0.130768,1.185480,0.230956,-0.830965,-0.505317,0.028503,1
1760941164250,0.173597,0.131289,1.185182,0.212051,-0.836248,-0.505114,0.024153,1
1760941164265,0.172821,0.131327,1.184136,0.236807,-0.822724,-0.515887,0.030134,1
1760941164282,0.172207,0.131391,1.183367,0.282750,-0.798130,-0.530224,0.043621,1
1760941164299,0.171841,0.132049,1.182902,0.288217,-0.794340,-0.532835,0.045186,1
1760941164313,0.171397,0.131964,1.182296,0.326359,-0.769253,-0.546103,0.059248,1
1760941164329,0.170639,0.132276,1.182080,0.318054,-0.772613,-0.546623,0.055800,1
1760941164349,0.170444,0.132239,1.181731,0.313699,-0.773017,-0.548696,0.054495,1
1760941164365,0.170048,0.132202,1.181447,0.350051,-0.747507,-0.560284,0.069129,1
1760941164381,0.169883,0.132536,1.180961,0.348977,-0.747494,-0.561035,0.068608,1
1760941164397,0.169543,0.132749,1.181166,0.359118,-0.738693,-0.565688,0.073233,1
1760941164413,0.169124,0.132808,1.180460,0.367221,-0.733332,-0.567106,0.075922,1
1760941164429,0.169124,0.132808,1.180460,0.354505,-0.743503,-0.562625,0.070584,1
1760941164449,0.168929,0.132769,1.180111,0.363046,-0.735059,-0.567708,0.074790,1
1760941164465,0.168645,0.133537,1.180362,0.364976,-0.731236,-0.571241,0.075964,1
1760941164481,0.168472,0.133365,1.180150,0.350893,-0.742371,-0.566439,0.070047,1
1760941164497,0.168224,0.133316,1.179893,0.338306,-0.753083,-0.560584,0.064496,1
1760941164513,0.168018,0.133321,1.179865,0.359407,-0.740237,-0.563424,0.073687,1
1760941164528,0.167473,0.133891,1.179921,0.348251,-0.746990,-0.562141,0.068738,1
1760941164549,0.167498,0.134036,1.179822,0.356042,-0.744819,-0.559695,0.072249,1
1760941164565,0.167291,0.134001,1.179510,0.358473,-0.740718,-0.563399,0.073587,1
1760941164581,0.167474,0.134131,1.179400,0.359857,-0.741925,-0.560876,0.073953,1
1760941164597,0.167505,0.134541,1.179547,0.341001,-0.755109,-0.556058,0.065791,1
1760941164613,0.167222,0.134722,1.179466,0.330851,-0.761619,-0.553730,0.062115,1
1760941164629,0.167159,0.134802,1.179099,0.298218,-0.784537,-0.541322,0.050375,1
1760941164649,0.167365,0.134797,1.179127,0.249414,-0.814511,-0.522615,0.035181,1
1760941164665,0.167802,0.134931,1.179082,0.217401,-0.834640,-0.505376,0.026610,1
1760941164681,0.168019,0.134879,1.178787,0.166178,-0.860811,-0.480785,0.015344,1
