timestamp,landmark_index,landmark_name,x,y,z,rx,ry,rz
1754660365166,0,WRIST,0.014123,-0.003508,0.699730,-0.931082,2.701454,-0.308720
1754660365210,0,WRIST,0.008739,0.003412,0.697002,-0.964305,2.696933,-0.313195
1754660365256,0,WRIST,0.004893,0.010532,0.694247,-0.983356,2.673467,-0.302788
1754660365298,0,WRIST,0.002847,0.016565,0.691105,-1.008864,2.677259,-0.352109
1754660365339,0,WRIST,0.003233,0.021308,0.690143,-0.999911,2.667647,-0.330812
1754660365381,0,WRIST,0.006438,0.024138,0.690556,-1.010302,2.672592,-0.337264
1754660365423,0,WRIST,0.012553,0.024533,0.690667,-0.985888,2.682561,-0.371107
1754660365467,0,WRIST,0.020259,0.023195,0.690993,-0.961687,2.701319,-0.414356
1754660365510,0,WRIST,0.029370,0.021090,0.691974,-0.929204,2.713651,-0.404678
1754660365552,0,WRIST,0.038416,0.017947,0.693804,-0.896341,2.724785,-0.425370
1754660365594,0,WRIST,0.046966,0.012464,0.697901,-0.876504,2.749815,-0.430410
1754660365638,0,WRIST,0.053396,0.005487,0.703649,-0.826068,2.741737,-0.394861
1754660365680,0,WRIST,0.055964,-0.001848,0.707938,-0.817322,2.772750,-0.380112
1754660365724,0,WRIST,0.055626,-0.009201,0.711346,-0.788761,2.783685,-0.380544
1754660365765,0,WRIST,0.052998,-0.015945,0.713459,-0.765169,2.791005,-0.406290
1754660365808,0,WRIST,0.048826,-0.021833,0.715727,-0.748337,2.785840,-0.408656
1754660365868,0,WRIST,0.042822,-0.025199,0.717171,-0.745233,2.786798,-0.407740
1754660365910,0,WRIST,0.036311,-0.026362,0.716600,-0.755634,2.781023,-0.421004
1754660365952,0,WRIST,0.028496,-0.026526,0.716453,-0.767110,2.772453,-0.397942
1754660365994,0,WRIST,0.021001,-0.026152,0.716739,-0.779805,2.778578,-0.393181
1754660366036,0,WRIST,0.012005,-0.025418,0.716702,-0.797983,2.776203,-0.386951
1754660366077,0,WRIST,0.003910,-0.023941,0.716487,-0.806016,2.766032,-0.377271
1754660366121,0,WRIST,-0.003809,-0.021083,0.714855,-0.836121,2.760267,-0.389486
1754660366164,0,WRIST,-0.010248,-0.017327,0.711760,-0.859669,2.747596,-0.380412
1754660366206,0,WRIST,-0.016374,-0.013185,0.709109,-0.881772,2.740689,-0.356552
1754660366250,0,WRIST,-0.024195,-0.008734,0.706701,-0.914587,2.737104,-0.361271
1754660366292,0,WRIST,-0.033147,-0.005039,0.705004,-0.956798,2.729580,-0.377386
1754660366335,0,WRIST,-0.042749,-0.002120,0.703725,-0.988426,2.707412,-0.248837
1754660366377,0,WRIST,-0.052534,0.000555,0.702881,-1.026112,2.729105,-0.345331
1754660366420,0,WRIST,-0.061469,0.002599,0.701842,-1.047447,2.710827,-0.358847
1754660366461,0,WRIST,-0.070590,0.004943,0.700451,-1.084540,2.713745,-0.284985
1754660366505,0,WRIST,-0.077211,0.006751,0.699136,-1.106604,2.711414,-0.332752
1754660366547,0,WRIST,-0.079302,0.007662,0.697954,-1.119520,2.701222,-0.361705
1754660366590,0,WRIST,-0.075984,0.007730,0.697377,-1.102080,2.711598,-0.358829
1754660366634,0,WRIST,-0.069483,0.006702,0.697380,-1.064785,2.700944,-0.452909
